game_id,player_elo,legal_move_num,move_color,board_fen,player_move,maia_move_1100,stockfish_move,pikebot_heuristic_move,pikebot_move_800,pikebot_move_1100,pikebot_move_1500,pikebot_move_1900,pikebot_move_2200,pikebot_move_2600,pikebot_prob_800,pikebot_prob_1100,pikebot_prob_1500,pikebot_prob_1900,pikebot_prob_2200,pikebot_prob_2600,position_of_player_move_in_pikebot_800,position_of_player_move_in_pikebot_1100,position_of_player_move_in_pikebot_1500,position_of_player_move_in_pikebot_1900,position_of_player_move_in_pikebot_2200,position_of_player_move_in_pikebot_2600,player_move_in_top_3_pikebot,player_move_in_top_5_pikebot
150,2405,42,True,r1bqk1nr/ppp1ppbp/2np2p1/8/3PP3/2N1B3/PPP2PPP/R2QKBNR w KQkq - 4 5,d1d2,g1f3,d1d2,d4d5,g1e2,g1e2,d1d3,d1d3,d4d5,d4d5,0.85387075,0.8588349,0.86691064,0.87503886,0.87928927,0.88870573,6,7,10,9,7,8,0,0
150,2405,39,True,r1bqk1nr/ppp2pbp/2np2p1/4p3/3PP3/2N1B3/PPPQ1PPP/R3KBNR w KQkq - 0 6,g1e2,d4d5,g1e2,d4e5,g1f3,g1f3,g1f3,g1f3,g1f3,g1f3,0.80671203,0.817955,0.82214004,0.8297957,0.8372541,0.8445586,3,3,3,3,3,3,1,1
150,2405,34,True,r1bqk1nr/ppp3bp/2np2p1/4pp2/3PP3/2N1B3/PPPQNPPP/R3KB1R w KQkq - 0 7,e4f5,e1c1,e4f5,e4f5,d4e5,d4e5,d4e5,d4e5,d4e5,d4e5,0.8138943,0.81738085,0.8221476,0.82933563,0.8317895,0.8389222,17,17,11,10,10,9,0,0
150,2405,34,True,r2qk1nr/ppp3bp/2np2p1/4pb2/3P4/2N1B3/PPPQNPPP/R3KB1R w KQkq - 0 8,d4e5,e1c1,e1c1,e1c1,h2h4,h2h4,h2h4,h2h4,h2h4,h2h4,0.9460537,0.9473933,0.9516212,0.9537058,0.95764726,0.95977443,13,14,14,14,13,13,0,0
150,2405,42,True,r2qk1nr/ppp3bp/2n3p1/4pb2/8/2N1B3/PPPQNPPP/R3KB1R w KQkq - 0 9,e2g3,d2d8,e1c1,e2g3,e1c1,e1c1,e1c1,e1c1,e1c1,e1c1,0.8910486,0.89348245,0.89756495,0.9015897,0.9037767,0.9071068,24,24,23,23,22,23,0,0
150,2405,2,True,r3k1nr/ppp3bp/2n3p1/4pb2/8/2N1B1N1/PPPq1PPP/R3KB1R w KQkq - 0 10,e3d2,e3d2,e1d2,e3d2,e3d2,e3d2,e3d2,e3d2,e3d2,e3d2,0.6384997,0.64783907,0.65822566,0.6735288,0.6798295,0.6888354,1,1,1,1,1,1,1,1
150,2405,34,True,r3k1nr/ppp3bp/2n3p1/4p3/8/2N3N1/PPbB1PPP/R3KB1R w KQkq - 0 11,f1b5,f1b5,a1c1,a1c1,f1b5,f1b5,f1b5,f1b5,f1b5,f1b5,0.878951,0.88458115,0.89433706,0.90504247,0.91186875,0.9179535,1,1,1,1,1,1,1,1
150,2405,39,True,r3k2r/ppp1n1bp/2n3p1/1B2p3/8/2N3N1/PPbB1PPP/R3K2R w KQkq - 2 12,a1c1,e1g1,a1c1,a1c1,b5c6,b5c6,b5c6,b5c6,b5c6,b5c6,0.8108959,0.82414836,0.8442142,0.8516839,0.8699596,0.8817465,6,6,6,5,5,4,0,1
150,2405,40,True,r3k2r/ppp1n1bp/2n3p1/1B2pb2/8/2N3N1/PP1B1PPP/2R1K2R w Kkq - 4 13,g3f5,e1g1,d2g5,d2g5,c3e4,c3e4,c3e4,b5c4,b5c4,b5c4,0.7384289,0.7496771,0.77057576,0.7893079,0.8143715,0.8225161,35,35,34,34,33,33,0,0
150,2405,37,True,r3k2r/ppp1n1bp/2n5/1B2pp2/8/2N5/PP1B1PPP/2R1K2R w Kkq - 0 14,e1g1,e1g1,d2g5,d2g5,b5c6,b5c6,b5c6,b5c6,b5c6,b5c6,0.9999939,0.9999933,0.99999225,0.99999094,0.99999,0.9999877,29,31,31,31,30,32,0,0
150,2405,35,True,2kr3r/ppp1n1bp/2n5/1B2pp2/8/2N5/PP1B1PPP/2R2RK1 w - - 2 15,d2g5,d2g5,c1d1,f1d1,c3e4,f1d1,f1d1,f1d1,f1d1,f1d1,0.81980723,0.8226263,0.8292467,0.8387422,0.8448824,0.85313356,7,7,7,6,5,5,0,1
150,2405,37,True,2k4r/ppp1n1bp/2nr4/1B2ppB1/8/2N5/PP3PPP/2R2RK1 w - - 4 16,c3a4,g5e7,f1d1,f1e1,c3a4,c3a4,c3a4,c3a4,c3a4,c3a4,0.8220406,0.8335867,0.85032654,0.8657014,0.878247,0.8897591,1,1,1,1,1,1,1,1
150,2405,35,True,2k4r/ppp1n2p/2nr1b2/1B2ppB1/N7/8/PP3PPP/2R2RK1 w - - 6 17,g5e3,g5f6,g5f6,g5e3,g5e3,g5e3,g5e3,g5e3,g5e3,g5e3,0.7384081,0.7505352,0.78268266,0.8007624,0.8157526,0.83300793,1,1,1,1,1,1,1,1
150,2405,37,True,2k4r/1pp1n2p/p1nr1b2/1B2pp2/N7/4B3/PP3PPP/2R2RK1 w - - 0 18,b5e2,b5c6,b5e2,e3c5,e3c5,b5c6,b5c6,b5c6,b5c6,b5c6,0.6692564,0.68626195,0.70555264,0.72050685,0.7266055,0.7399075,4,3,2,2,2,2,1,1
150,2405,38,True,2k4r/1pp1n2p/p2r1b2/4pp2/N2n4/4B3/PP2BPPP/2R2RK1 w - - 2 19,e2d1,e3d4,e3d4,e2d3,c1c7,e3d4,e3d4,e3d4,e3d4,e3d4,0.7539948,0.7720714,0.7835999,0.8038491,0.8172733,0.8361275,9,7,6,6,5,4,0,1
150,2405,32,True,2k4r/1pp1n2p/p1r2b2/4pp2/N2n4/4B3/PP3PPP/2RB1RK1 w - - 4 20,a4c5,c1c6,c1c6,a4c5,e3d4,e3d4,e3d4,e3d4,e3d4,e3d4,0.9736049,0.9701933,0.97306913,0.9696554,0.97014534,0.96916044,3,2,2,2,2,2,1,1
150,2405,37,True,2k4r/2p1n2p/ppr2b2/2N1pp2/3n4/4B3/PP3PPP/2RB1RK1 w - - 0 21,c5a6,c5a6,e3d4,c5d3,e3d4,e3d4,e3d4,e3d4,e3d4,e3d4,0.91514707,0.9229935,0.93248975,0.942378,0.9476073,0.95338655,3,2,2,2,2,2,1,1
150,2405,29,True,2k4r/2p1n2p/Np3b2/4pp2/3n4/4B3/PP3PPP/2rB1RK1 w - - 0 22,e3c1,e3c1,e3c1,e3c1,e3d4,e3d4,e3d4,e3d4,e3d4,e3d4,0.8636006,0.866608,0.8574322,0.85686743,0.8437322,0.8256035,14,10,5,4,2,2,1,1
150,2405,28,True,2k4r/4n2p/Np3b2/2p1pp2/3n4/8/PP3PPP/2BB1RK1 w - - 0 23,b2b4,b2b4,c1e3,b2b4,b2b4,b2b4,b2b4,b2b4,b2b4,b2b4,0.7637423,0.76688415,0.7715164,0.79058087,0.8076592,0.82839864,1,1,1,1,1,1,1,1
