game_id,player_elo,legal_move_num,move_color,board_fen,player_move,maia_move_1100,stockfish_move,pikebot_heuristic_move,pikebot_move_800,pikebot_move_1100,pikebot_move_1500,pikebot_move_1900,pikebot_move_2200,pikebot_move_2600,pikebot_prob_800,pikebot_prob_1100,pikebot_prob_1500,pikebot_prob_1900,pikebot_prob_2200,pikebot_prob_2600,position_of_player_move_in_pikebot_800,position_of_player_move_in_pikebot_1100,position_of_player_move_in_pikebot_1500,position_of_player_move_in_pikebot_1900,position_of_player_move_in_pikebot_2200,position_of_player_move_in_pikebot_2600,player_move_in_top_3_pikebot,player_move_in_top_5_pikebot
131,1531,27,True,r2q1rk1/ppp2ppp/2n1bn2/4p3/1b1pP3/1P1P2PP/PBPN1PB1/R2QK1NR w KQ - 3 10,a2a3,a2a3,f2f4,g1e2,d1b1,d1b1,d1b1,d1b1,d1b1,d1b1,0.81975174,0.82296324,0.83147335,0.84298104,0.8471678,0.85103893,3,3,3,2,2,2,1,1
131,1531,24,True,r2q1rk1/ppp2ppp/2n1bn2/4p3/3pP3/PPbP2PP/1BPN1PB1/R2QK1NR w KQ - 1 11,b2c3,b2c3,b2c3,b2c3,d1h5,a1b1,d1b1,d1b1,d1b1,d1b1,0.6109744,0.6199606,0.637355,0.6562186,0.66504806,0.6851003,4,3,3,3,2,2,1,1
131,1531,27,True,r2q1rk1/ppp2ppp/2n1bn2/4p3/4P3/PPpP2PP/2PN1PB1/R2QK1NR w KQ - 0 12,d2f3,d2c4,d2f3,g1e2,d2f3,d2f3,d2f3,d2f3,d2f3,d2f3,0.7315241,0.7509967,0.76525,0.7755919,0.78333765,0.7971156,1,1,1,1,1,1,1,1
131,1531,21,True,r2q1rk1/ppp2ppp/4bn2/4p3/3nP3/PPpP1NPP/2P2PB1/R2QK1NR w KQ - 2 13,g1e2,f3d4,g1e2,f3e5,g1e2,g1e2,g1e2,g1e2,g1e2,g1e2,0.8349468,0.84302425,0.84553367,0.8591975,0.8655879,0.86900395,1,1,1,1,1,1,1,1
131,1531,25,True,r2q1rk1/ppp2ppp/4bn2/4p3/4P3/PPpP1NPP/2P1nPB1/R2QK2R w KQ - 0 14,d1e2,d1e2,d1e2,d1e2,f3e5,f3e5,f3e5,d1b1,d1e2,d1e2,0.7062294,0.68593735,0.6519985,0.6199633,0.6093833,0.63675183,24,22,8,3,1,1,1,1
131,1531,28,True,r2q1rk1/pppb1ppp/5n2/4p3/4P3/PPpP1NPP/2P1QPB1/R3K2R w KQ - 1 15,f3e5,e1g1,f3e5,f3e5,f3e5,f3e5,f3e5,f3e5,f3e5,f3e5,0.8313043,0.85572267,0.87337416,0.8926935,0.90698624,0.9276739,1,1,1,1,1,1,1,1
131,1531,34,True,r2q1rk1/ppp2ppp/5n2/1b2N3/4P3/PPpP2PP/2P1QPB1/R3K2R w KQ - 1 16,e1g1,e1g1,f2f4,a3a4,e5f7,a3a4,a3a4,a3a4,a3a4,a3a4,0.72887707,0.7259281,0.7413588,0.75412333,0.7584625,0.77231675,3,3,2,2,2,2,1,1
131,1531,34,True,r2qr1k1/ppp2ppp/5n2/1b2N3/4P3/PPpP2PP/2P1QPB1/R4RK1 w - - 3 17,e5f3,e5f3,f2f4,f2f4,f2f4,f2f4,f2f4,f2f4,f2f4,f2f4,0.8768123,0.88637024,0.89395404,0.90107876,0.91183597,0.91901135,6,5,5,5,4,4,0,1
131,1531,30,True,r2qr1k1/ppp2ppp/8/1b6/4n3/PPpP1NPP/2P1QPB1/R4RK1 w - - 0 18,d3e4,f1e1,e2d1,e2d1,e2d1,e2d1,e2d1,e2d1,e2d1,e2d1,0.86287105,0.8682498,0.8912076,0.90825474,0.91317457,0.9230953,29,29,29,28,29,28,0,0
131,1531,24,True,r2qr1k1/ppp2ppp/8/8/4P3/PPp2NPP/2P1bPB1/R4RK1 w - - 0 19,f1e1,f1e1,f1e1,f1e1,f1b1,f1b1,f1b1,f1b1,f1b1,f1b1,0.98765254,0.9879326,0.9878249,0.9873912,0.98720646,0.9871056,11,11,11,11,11,10,0,0
