game_id,player_elo,legal_move_num,move_color,board_fen,player_move,maia_move_1100,stockfish_move,pikebot_heuristic_move,pikebot_move_800,pikebot_move_1100,pikebot_move_1500,pikebot_move_1900,pikebot_move_2200,pikebot_move_2600,pikebot_prob_800,pikebot_prob_1100,pikebot_prob_1500,pikebot_prob_1900,pikebot_prob_2200,pikebot_prob_2600,position_of_player_move_in_pikebot_800,position_of_player_move_in_pikebot_1100,position_of_player_move_in_pikebot_1500,position_of_player_move_in_pikebot_1900,position_of_player_move_in_pikebot_2200,position_of_player_move_in_pikebot_2600,player_move_in_top_3_pikebot,player_move_in_top_5_pikebot
50,1174,31,True,r1bqk1nr/ppp2ppp/2np4/4p3/1b1PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 5,a2a3,d4d5,f1b5,f1b5,c1g5,c1g5,c1g5,c1g5,c1g5,c1g5,0.83118343,0.83713996,0.84054965,0.84885126,0.8616524,0.8719432,14,12,10,10,10,10,0,0
50,1174,5,True,r1bqk1nr/ppp2ppp/2np4/4p3/3PP3/P1b2N2/1PP2PPP/R1BQKB1R w KQkq - 0 6,b2c3,b2c3,b2c3,b2c3,c1d2,c1d2,b2c3,b2c3,b2c3,b2c3,0.6912393,0.6796878,0.705782,0.7333658,0.75128967,0.78586215,4,2,1,1,1,1,1,1
50,1174,31,True,r2qk1nr/ppp2ppp/2np4/4p3/3PP1b1/P1P2N2/2P2PPP/R1BQKB1R w KQkq - 1 7,h2h3,f1e2,h2h3,h2h3,f1c4,f1c4,f1d3,f1c4,f1d3,d1d3,0.8289212,0.8391295,0.86040246,0.8729803,0.8803447,0.8948452,17,17,16,16,16,16,0,0
50,1174,28,True,r2qk1nr/ppp2ppp/2np4/4p3/3PP3/P1P2b1P/2P2PP1/R1BQKB1R w KQkq - 0 8,g2f3,d1f3,d1f3,d1f3,d1f3,d1f3,d1f3,d1f3,d1f3,d1f3,0.69525516,0.7112024,0.74593633,0.7644174,0.7884833,0.7999994,5,4,2,2,2,2,1,1
50,1174,27,True,r2qk2r/ppp2ppp/2np1n2/4p3/3PP3/P1P2P1P/2P2P2/R1BQKB1R w KQkq - 1 9,a1b1,d4d5,h1g1,h1g1,f1c4,f1c4,f1c4,f1c4,f1e2,f1c4,0.914881,0.92295766,0.9270604,0.9362576,0.94089395,0.9468228,7,7,7,6,6,6,0,0
50,1174,32,True,r2q1rk1/ppp2ppp/2np1n2/4p3/3PP3/P1P2P1P/2P2P2/1RBQKB1R w K - 3 10,b1b7,b1b7,b1b7,b1b7,b1b7,b1b7,b1b7,b1b7,b1b7,b1b7,0.8613018,0.86845535,0.87893885,0.8873903,0.8953703,0.90455854,1,1,1,1,1,1,1,1
50,1174,34,True,r2q1rk1/pRp2ppp/3p1n2/n3p3/3PP3/P1P2P1P/2P2P2/2BQKB1R w K - 1 11,b7b5,b7b5,b7b4,b7b5,b7b4,b7b4,b7b4,b7b5,b7b5,b7b5,0.7650895,0.78185976,0.80299264,0.8214001,0.8421445,0.85650855,3,2,2,1,1,1,1,1
50,1174,32,True,r2q1rk1/p1p2ppp/3p1n2/1R2p3/2nPP3/P1P2P1P/2P2P2/2BQKB1R w K - 3 12,f1c4,f1c4,f1c4,f1c4,f1c4,f1c4,f1c4,f1c4,f1c4,f1c4,0.8746755,0.8864266,0.9026099,0.9142954,0.92270386,0.9299253,1,1,1,1,1,1,1,1
50,1174,40,True,r2q1rk1/2p2ppp/p2p1n2/1R2p3/2BPP3/P1P2P1P/2P2P2/2BQK2R w K - 0 13,b5a5,b5a5,b5b1,b5b3,b5b7,b5b7,b5b7,b5b7,b5b7,b5b7,0.7600555,0.7744622,0.78989273,0.8000313,0.8147255,0.83488053,6,5,6,6,7,8,0,1
50,1174,37,True,r2q1rk1/5ppp/p1pp1n2/R3p3/2BPP3/P1P2P1P/2P2P2/2BQK2R w K - 0 14,c4a6,a5a6,a5a4,a5a4,a5a6,a5a6,a5a6,a5a6,a5a6,a5a6,0.80783206,0.81694305,0.83540833,0.850313,0.86212677,0.877954,8,6,5,6,6,8,0,1
