game_id,player_elo,legal_move_num,move_color,board_fen,player_move,maia_move_1100,stockfish_move,pikebot_heuristic_move,pikebot_move_800,pikebot_move_1100,pikebot_move_1500,pikebot_move_1900,pikebot_move_2200,pikebot_move_2600,pikebot_prob_800,pikebot_prob_1100,pikebot_prob_1500,pikebot_prob_1900,pikebot_prob_2200,pikebot_prob_2600,position_of_player_move_in_pikebot_800,position_of_player_move_in_pikebot_1100,position_of_player_move_in_pikebot_1500,position_of_player_move_in_pikebot_1900,position_of_player_move_in_pikebot_2200,position_of_player_move_in_pikebot_2600,player_move_in_top_3_pikebot,player_move_in_top_5_pikebot
0,1514,39,True,rnbqkbnr/pp3ppp/4p3/3pP3/3p4/2P5/PP3PPP/RNBQKBNR w KQkq - 0 5,c3d4,c3d4,c3d4,g1f3,f1d3,f1d3,f1d3,f1d3,f1d3,f1d3,0.75312304,0.76376367,0.78783953,0.8109135,0.82166433,0.83571786,32,28,26,24,22,20,0,0
0,1514,37,True,r1bqkbnr/pp3ppp/2n1p3/3pP3/3P4/8/PP3PPP/RNBQKBNR w KQkq - 1 6,g1f3,g1f3,g1f3,g1f3,c1g5,c1g5,c1g5,c1g5,c1g5,c1g5,0.9802711,0.9767876,0.9706599,0.9622742,0.9545251,0.9413564,12,12,12,12,13,13,0,0
0,1514,34,True,r1b1kbnr/pp3ppp/1qn1p3/3pP3/3P4/5N2/PP3PPP/RNBQKB1R w KQkq - 3 7,a2a3,b1c3,b1c3,a2a3,b1d2,b1d2,b1d2,b1d2,b1d2,b1d2,0.8147952,0.82159114,0.8301451,0.84280586,0.84763056,0.8561817,12,12,11,11,11,10,0,0
0,1514,33,True,r3kbnr/pp1b1ppp/1qn1p3/3pP3/3P4/P4N2/1P3PPP/RNBQKB1R w KQkq - 1 8,b2b4,b1c3,b1c3,b1c3,f1e2,f1e2,f1e2,f1e2,f1e2,f1e2,0.7963988,0.81019723,0.8197862,0.84047765,0.8454861,0.8559885,17,17,17,14,12,10,0,0
0,1514,34,True,r3kbnr/1p1b1ppp/1qn1p3/p2pP3/1P1P4/P4N2/5PPP/RNBQKB1R w KQkq - 0 9,b4b5,b4b5,b4b5,b4b5,f1e2,f1e2,f1e2,f1e2,f1e2,f1e2,0.782406,0.79505277,0.8063594,0.8080415,0.81475455,0.81351775,4,4,3,3,3,2,1,1
0,1514,30,True,r3kbnr/np1b1ppp/1q2p3/pP1pP3/3P4/P4N2/5PPP/RNBQKB1R w KQkq - 1 10,a3a4,a3a4,b1c3,b1c3,f1e2,f1e2,f1e2,f1e2,f1e2,f1e2,0.77775663,0.7841883,0.7891185,0.79551893,0.79506075,0.7964402,18,17,14,13,12,10,0,0
0,1514,31,True,2r1kbnr/np1b1ppp/1q2p3/pP1pP3/P2P4/5N2/5PPP/RNBQKB1R w KQk - 1 11,c1e3,c1e3,f1d3,f1d3,b1d2,b1d2,b1d2,b1d2,b1d2,c1b2,0.8467686,0.8483165,0.8582145,0.8633069,0.86740285,0.8773644,15,15,15,15,15,15,0,0
0,1514,30,True,4kbnr/nprb1ppp/1q2p3/pP1pP3/P2P4/4BN2/5PPP/RN1QKB1R w KQk - 3 12,b1d2,f1d3,e3d2,b1d2,h2h3,h2h3,h2h3,h2h3,h2h3,h2h3,0.861253,0.87040687,0.8807539,0.8867847,0.8983773,0.9076611,2,3,2,3,3,3,1,1
0,1514,24,True,4k1nr/nprb1ppp/1q2p3/pP1pP3/Pb1P4/4BN2/3N1PPP/R2QKB1R w KQk - 5 13,a1c1,a1c1,f1d3,f1e2,f1d3,f1d3,f1d3,f1d3,f1d3,h1g1,0.7912145,0.7995885,0.8040998,0.8130661,0.82260245,0.8336823,3,3,4,4,5,5,1,1
0,1514,26,True,2n1k1nr/1prb1ppp/1q2p3/pP1pP3/Pb1P4/4BN2/3N1PPP/2RQKB1R w Kk - 7 14,f1d3,c1c7,f1d3,f1d3,c1c7,c1c7,c1c7,c1c7,c1c7,c1c7,0.93954486,0.9431923,0.9507432,0.95680916,0.9618569,0.96597356,2,2,2,2,2,2,1,1
0,1514,35,True,2n1k2r/1prbnppp/1q2p3/pP1pP3/Pb1P4/3BBN2/3N1PPP/2RQK2R w Kk - 9 15,e1g1,e1g1,e1g1,e1g1,g2g3,g2g3,c1c7,c1c7,g2g3,c1c7,0.94823366,0.9478592,0.9517585,0.95480955,0.95669544,0.9614324,5,4,3,3,3,3,1,1
0,1514,35,True,2n1k2r/1prb1ppp/1q2p1n1/pP1pP3/Pb1P4/3BBN2/3N1PPP/2RQ1RK1 w k - 11 16,c1c7,c1c7,d2b3,d1e2,d1b3,d1b3,d1b3,d1b3,d1b3,d1b3,0.943789,0.9501538,0.95558566,0.9627758,0.96554613,0.9694825,4,4,4,4,4,4,0,1
0,1514,31,True,2n1k2r/1pqb1ppp/4p1n1/pP1pP3/Pb1P4/3BBN2/3N1PPP/3Q1RK1 w k - 0 17,d2b3,d3g6,d2b3,f3e1,h2h3,h2h3,h2h3,h2h3,h2h3,h2h3,0.89626086,0.89740086,0.91099614,0.92210746,0.92401016,0.93415904,26,24,22,22,22,22,0,0
0,1514,34,True,4k2r/1pqb1ppp/1n2p1n1/pP1pP3/Pb1P4/1N1BBN2/5PPP/3Q1RK1 w k - 2 18,d3g6,b3c5,f3g5,d3g6,e3h6,e3g5,e3g5,e3g5,e3g5,e3g5,0.90686643,0.90245134,0.9076737,0.91021097,0.9098208,0.91015923,3,4,4,4,3,3,1,1
0,1514,28,True,4k2r/1pqb1pp1/1n2p1p1/pP1pP3/Pb1P4/1N2BN2/5PPP/3Q1RK1 w k - 0 19,e3d2,f3g5,b3c5,b3c5,b3c5,b3c5,b3c5,b3c5,b3c5,b3c5,0.833203,0.84930867,0.8557439,0.87135893,0.8766968,0.88610375,15,15,14,11,12,11,0,0
0,1514,28,True,4k2r/1pqb1pp1/4p1p1/pP1pP3/nb1P4/1N3N2/3B1PPP/3Q1RK1 w k - 0 20,d2b4,d2b4,d1a1,d2b4,d2b4,d2b4,d2b4,d2b4,d2b4,d2b4,0.81432426,0.82300246,0.84366167,0.8667934,0.8768398,0.8888827,1,1,1,1,1,1,1,1
0,1514,24,True,4k2r/1pqb1pp1/4p1p1/1P1pP3/np1P4/1N3N2/5PPP/3Q1RK1 w k - 0 21,f1e1,b3c5,b5b6,d1a1,b3c5,b3c5,b3c5,b3c5,b3c5,b3c5,0.80414313,0.81669295,0.8429607,0.8541919,0.87872523,0.8883663,5,5,4,4,4,4,0,1
